volatile acidity,chlorides,pH,sulphates,alcohol,quality
0.31,0.078,3.31,0.77,12.5,7
0.59,0.08,3.42,0.58,10.7,6
0.31,0.078,3.31,0.77,12.5,7
0.31,0.056,3.4,0.69,11.8,5
0.635,0.08,3.58,0.69,10.8,7
0.635,0.08,3.58,0.69,10.8,7
0.59,0.06,3.41,0.59,10.8,7
0.54,0.084,3.39,0.71,11.0,5
0.56,0.079,3.59,0.54,11.5,6
0.52,0.078,3.43,0.59,10.8,6
0.38,0.132,3.23,0.57,13.2,6
0.28,0.114,3.18,0.6,10.9,6
0.46,0.065,3.33,0.62,12.2,6
0.315,0.079,3.27,0.67,11.9,6
0.715,0.161,3.62,0.61,11.0,5
0.41,0.084,3.38,0.64,10.1,6
0.36,0.081,3.3,0.72,11.0,6
0.62,0.072,3.38,0.89,11.8,6
0.41,0.091,3.24,0.56,10.5,5
0.62,0.072,3.38,0.89,11.8,6
0.47,0.055,3.18,0.8,11.2,5
0.22,0.064,3.47,0.87,11.0,7
0.24,0.061,3.47,0.9,10.2,6
0.67,0.093,3.2,0.59,9.2,4
0.47,0.055,3.18,0.8,11.2,5
0.33,0.063,3.3,0.73,12.0,7
0.61,0.074,3.48,0.65,9.8,5
0.4,0.078,3.45,0.59,9.5,6
0.61,0.08,3.69,0.73,10.5,5
0.3,0.06,3.39,0.72,11.8,6
0.46,0.073,3.61,0.54,11.4,5
0.27,0.082,3.19,0.52,12.5,7
0.43,0.092,3.22,0.64,10.0,7
0.3,0.09,3.27,0.64,12.1,7
0.44,0.092,3.29,0.99,12.0,7
0.28,0.093,3.26,0.62,12.4,7
0.12,0.075,3.41,0.76,11.9,7
0.12,0.075,3.41,0.76,11.9,7
0.28,0.093,3.26,0.62,12.4,7
0.31,0.058,3.31,0.68,11.2,7
0.34,0.052,3.2,0.69,12.1,7
0.21,0.09,3.36,0.67,10.4,5
0.36,0.111,3.31,0.62,11.3,6
0.57,0.12,3.47,0.71,11.3,7
0.47,0.058,3.16,0.85,11.1,6
0.56,0.078,3.27,0.62,9.3,5
0.57,0.115,3.38,0.69,9.5,5
0.47,0.058,3.16,0.85,11.1,6
0.66,0.097,3.13,0.48,9.2,5
0.4,0.068,3.2,0.6,12.2,6
0.26,0.066,3.33,0.87,10.9,6
0.33,0.073,3.3,0.62,12.1,7
0.41,0.083,3.44,0.52,9.4,5
0.59,0.109,3.15,0.5,9.1,5
0.4,0.061,3.28,0.49,11.3,7
0.5,0.065,3.32,0.71,10.5,6
0.86,0.079,3.25,0.62,10.0,5
0.52,0.07,3.34,0.82,12.9,6
0.5,0.065,3.32,0.71,10.5,6
0.58,0.064,3.45,0.58,11.3,6
0.36,0.08,3.44,0.5,9.4,5
0.39,0.097,3.16,0.49,9.4,5
0.295,0.073,3.14,0.51,10.9,6
0.39,0.097,3.16,0.49,9.4,5
0.34,0.082,3.45,0.48,9.4,5
0.34,0.082,3.45,0.48,9.4,5
0.6,0.079,3.39,0.62,10.1,6
0.84,0.05,3.12,0.48,9.1,6
0.69,0.055,3.47,0.53,12.9,6
0.43,0.062,3.44,0.72,11.5,7
0.43,0.081,3.25,0.54,10.3,5
0.36,0.067,3.36,0.55,12.8,7
0.29,0.063,3.26,0.84,11.7,7
0.3,0.064,3.26,0.84,11.7,7
0.35,0.11,3.23,0.7,12.0,7
0.28,0.067,3.25,0.55,12.3,7
0.32,0.088,3.17,0.55,10.4,6
1.005,0.102,3.23,0.48,10.0,5
0.71,0.092,3.38,0.58,10.0,6
0.58,0.12,3.22,0.58,11.2,6
0.38,0.068,3.27,0.75,12.6,7
0.18,0.049,2.89,0.44,12.7,6
0.5,0.078,3.53,0.61,10.4,5
0.36,0.123,3.2,0.53,11.9,6
0.36,0.123,3.2,0.53,11.9,6
0.51,0.062,3.35,0.54,10.5,5
0.32,0.098,3.27,0.55,12.3,6
0.58,0.088,3.32,0.56,10.5,7
0.83,0.095,3.33,0.6,10.4,6
0.31,0.066,3.41,0.56,12.6,6
0.795,0.065,3.49,0.52,11.6,5
0.58,0.088,3.32,0.56,10.5,7
0.82,0.095,3.36,0.53,9.6,5
0.745,0.077,3.2,0.47,9.7,6
0.37,0.085,3.17,0.65,10.6,7
0.31,0.082,3.22,0.59,12.5,7
0.41,0.078,3.24,0.77,12.6,7
0.5,0.088,3.33,0.83,11.1,6
0.49,0.079,3.38,0.64,9.8,6
0.39,0.046,3.36,0.62,12.2,6
0.44,0.07,3.32,0.58,11.4,6
0.78,0.076,3.31,0.62,10.7,6
0.43,0.082,3.49,0.64,10.4,5
0.49,0.081,3.27,0.78,10.9,6
0.5,0.084,3.27,0.77,10.8,6
0.46,0.414,3.03,1.34,9.2,5
0.605,0.073,3.56,0.55,12.9,5
0.33,0.07,3.38,0.77,12.7,7
0.64,0.095,3.13,0.62,9.1,6
0.48,0.101,3.21,0.59,12.1,7
0.42,0.104,3.15,0.57,9.1,5
0.53,0.093,3.19,0.76,11.6,7
0.48,0.101,3.21,0.59,12.1,7
0.23,0.074,3.14,0.7,9.9,6
0.4,0.071,3.21,0.69,12.5,8
0.38,0.098,3.3,0.64,11.4,6
0.29,0.075,3.22,0.63,11.8,6
0.74,0.067,3.28,0.57,11.8,6
0.61,0.083,3.29,0.6,10.2,6
0.52,0.07,3.4,0.72,12.5,7
0.31,0.06,3.02,0.83,10.9,7
0.62,0.086,3.31,0.62,10.8,5
0.33,0.057,3.18,0.89,11.1,7
0.77,0.098,3.2,0.58,9.2,5
0.62,0.088,3.31,0.58,10.7,6
0.32,0.073,3.15,0.73,11.4,6
0.37,0.08,3.27,0.58,11.0,5
0.3,0.05,3.01,0.51,12.3,7
0.3,0.05,3.01,0.51,12.3,7
0.38,0.073,3.42,0.59,9.5,6
0.42,0.072,3.33,0.77,12.0,6
0.48,0.074,3.12,0.49,9.6,5
0.34,0.055,3.38,0.66,11.6,7
0.19,0.057,3.29,0.69,11.2,6
0.41,0.095,3.02,0.76,9.9,7
0.41,0.095,3.02,0.76,9.9,7
0.26,0.083,2.98,0.63,11.8,8
0.34,0.086,3.35,0.6,11.4,6
0.54,0.081,3.43,0.59,11.5,6
0.31,0.079,3.33,0.86,12.0,7
0.725,0.117,3.35,0.49,10.8,6
0.725,0.117,3.35,0.49,10.8,6
0.52,0.096,3.2,0.52,9.4,5
0.34,0.072,3.11,0.78,12.4,6
0.49,0.071,3.35,0.63,12.0,6
0.49,0.071,3.35,0.63,12.0,6
0.48,0.073,3.28,0.66,12.4,6
0.57,0.048,3.41,0.6,12.8,5
0.3,0.068,3.27,0.85,11.7,7
0.78,0.09,3.36,0.49,9.5,5
0.47,0.171,3.17,0.76,10.8,6
0.53,0.07,3.25,0.64,10.0,6
0.42,0.092,3.78,0.64,12.3,7
0.33,0.056,3.29,0.71,11.0,6
0.4,0.046,3.49,0.66,13.6,6
0.69,0.091,3.38,0.6,11.3,6
0.69,0.091,3.38,0.6,11.3,6
0.69,0.091,3.38,0.6,11.3,6
0.39,0.065,3.3,0.53,13.3,6
0.66,0.066,3.52,0.58,12.9,5
0.54,0.076,3.2,0.72,13.1,8
0.47,0.055,3.45,0.48,12.3,6
0.24,0.055,3.14,0.59,11.3,7
0.76,0.072,3.51,0.6,11.5,6
0.43,0.095,3.22,0.68,10.0,5
0.6,0.058,3.18,0.63,10.4,6
0.36,0.075,3.38,0.88,13.6,7
0.48,0.089,3.37,0.68,11.2,7
0.28,0.061,3.3,0.74,11.8,7
0.25,0.067,3.38,0.6,11.9,6
0.52,0.08,3.22,0.76,11.4,6
0.41,0.104,3.14,0.58,9.1,5
0.51,0.079,3.34,0.64,9.5,6
0.4,0.08,3.41,0.65,9.5,6
0.38,0.08,3.27,0.85,11.0,6
0.45,0.043,3.3,0.65,11.4,6
0.22,0.065,3.61,0.82,10.0,6
0.32,0.066,3.43,0.62,10.1,5
0.2,0.076,3.53,0.81,10.4,6
0.5,0.178,3.28,0.87,9.8,6
0.41,0.071,3.21,0.49,11.8,7
0.39,0.086,3.39,0.66,11.6,6
0.35,0.061,3.23,0.52,12.0,6
0.58,0.044,3.46,0.65,12.5,6
0.6,0.118,3.15,0.53,9.8,5
0.42,0.083,3.23,0.66,11.1,6
0.6,0.118,3.15,0.53,9.8,5
0.18,0.071,3.33,0.76,11.8,7
0.51,0.042,3.46,0.87,12.9,7
0.32,0.075,3.14,0.71,11.8,7
0.785,0.078,3.29,0.67,10.0,5
0.33,0.074,3.32,0.88,12.4,7
0.34,0.067,3.21,0.56,12.0,6
0.5,0.086,3.32,0.62,11.5,6
0.36,0.062,3.2,0.67,10.5,6
0.42,0.074,3.27,0.74,12.3,6
0.36,0.079,3.46,0.62,9.5,6
0.36,0.079,3.46,0.62,9.5,6
0.61,0.095,3.61,0.7,11.5,6
0.88,0.079,3.58,0.5,11.2,4
0.915,0.041,3.68,0.73,11.4,5
0.35,0.076,3.27,0.81,11.0,6
0.39,0.068,3.19,0.46,11.4,5
0.66,0.07,3.29,0.6,9.3,5
0.64,0.08,3.36,0.7,10.9,5
0.64,0.08,3.36,0.7,10.9,5
0.955,0.075,3.3,0.44,9.6,4
0.4,0.08,3.28,0.57,12.5,6
0.885,0.166,3.56,0.51,10.8,5
0.25,0.063,3.52,0.8,12.4,7
0.745,0.114,3.22,0.59,9.5,6
0.43,0.078,3.52,0.6,9.5,6
0.57,0.069,3.16,0.54,9.8,6
0.26,0.052,3.15,0.79,10.9,6
0.58,0.076,3.21,0.58,9.5,6
0.57,0.069,3.16,0.54,9.8,6
0.34,0.065,3.27,0.54,11.2,7
0.42,0.068,3.35,0.69,11.7,8
0.74,0.111,3.14,0.55,9.4,5
0.36,0.074,3.4,0.85,11.0,7
0.36,0.074,3.4,0.85,11.0,7
0.72,0.136,3.35,0.94,10.0,5
0.36,0.074,3.4,0.85,11.0,7
0.39,0.071,3.45,0.87,11.2,7
0.65,0.078,3.35,0.62,10.4,6
0.65,0.078,3.35,0.62,10.4,6
0.33,0.081,3.1,0.48,10.4,6
0.57,0.079,3.29,0.69,9.5,6
0.39,0.044,3.2,0.83,10.9,6
0.32,0.132,3.28,0.77,11.5,6
0.32,0.132,3.28,0.77,11.5,6
0.39,0.08,3.07,0.82,10.3,6
0.46,0.091,3.15,0.51,9.4,5
0.58,0.08,3.02,0.47,9.2,5
0.58,0.104,3.27,0.72,9.6,5
0.42,0.044,3.68,0.73,13.6,7
0.43,0.075,3.4,0.64,9.5,5
0.18,0.066,3.37,0.78,11.8,6
0.815,0.074,3.38,0.62,10.8,5
0.43,0.075,3.4,0.64,9.5,5
0.75,0.059,3.39,0.4,12.8,6
0.55,0.07,3.26,0.64,9.4,6
0.75,0.059,3.39,0.4,12.8,6
0.73,0.081,3.38,0.46,9.6,4
0.67,0.057,3.45,0.56,11.8,4
0.61,0.076,3.1,0.4,9.3,5
0.56,0.082,3.37,0.62,9.5,5
0.55,0.082,3.49,0.68,10.5,5
0.74,0.086,3.12,0.48,10.0,5
0.6,0.079,3.4,0.61,10.9,6
0.58,0.077,3.28,0.59,9.8,5
0.72,0.123,3.45,0.58,9.8,5
0.66,0.096,3.43,0.58,9.5,5
0.7,0.079,3.4,0.69,10.9,5
0.59,0.082,3.1,0.42,9.2,5
0.58,0.085,3.32,0.7,11.0,6
0.64,0.123,3.44,0.63,11.3,6
0.635,0.403,3.02,1.15,9.3,5
1.02,0.083,3.59,0.55,11.2,4
0.45,0.081,3.15,0.58,9.8,5
0.37,0.066,3.38,0.72,11.8,6
0.57,0.081,3.38,0.6,10.3,6
0.57,0.081,3.38,0.6,10.3,6
0.43,0.068,3.1,0.87,11.4,6
0.41,0.079,3.47,0.55,9.5,6
0.38,0.048,3.7,0.75,14.0,6
0.44,0.049,3.38,0.57,11.7,6
0.46,0.077,3.5,0.53,11.2,5
0.58,0.073,3.1,0.43,9.3,5
0.58,0.102,3.24,0.53,11.2,6
0.715,0.075,3.24,0.54,9.5,6
0.4,0.05,3.28,0.56,12.0,4
0.69,0.114,3.35,0.6,9.7,6
0.715,0.075,3.24,0.54,9.5,6
0.3,0.062,3.14,0.57,11.5,7
0.46,0.077,3.37,0.64,10.4,6
0.46,0.077,3.37,0.64,10.4,6
0.765,0.084,3.33,0.68,10.9,6
0.63,0.096,3.26,0.63,10.2,6
0.42,0.071,3.39,0.56,10.9,5
0.37,0.09,3.15,0.57,10.5,5
0.6,0.068,3.3,1.17,10.2,5
0.6,0.068,3.3,1.17,10.2,5
0.74,0.1,3.36,0.59,11.0,5
0.635,0.073,3.29,0.75,10.9,6
0.395,0.056,3.62,0.67,12.4,6
0.63,0.093,3.2,0.45,9.5,5
0.53,0.064,3.35,0.61,12.1,6
0.6,0.063,3.45,0.56,12.2,6
1.58,0.137,3.5,0.4,10.9,3
0.645,0.08,3.78,0.61,12.5,6
0.86,0.1,3.6,0.74,11.7,6
0.37,0.064,3.3,0.8,11.2,6
0.79,0.087,3.12,0.44,9.2,5
0.61,0.073,3.3,0.53,9.8,5
0.69,0.088,3.29,0.62,10.1,5
0.62,0.071,3.28,0.61,9.2,5
0.51,0.064,3.33,0.59,12.8,6
1.18,0.083,3.34,0.47,10.5,5
0.63,0.083,3.26,0.58,9.8,6
0.74,0.041,4.01,0.59,12.5,6
0.76,0.414,2.9,1.33,9.1,6
0.74,0.041,4.01,0.59,12.5,6
0.34,0.058,3.18,0.55,11.4,5
0.46,0.077,3.39,0.6,10.6,6
0.46,0.077,3.39,0.6,10.6,6
0.46,0.077,3.39,0.6,10.6,6
0.46,0.077,3.39,0.6,10.6,6
0.52,0.073,3.34,0.52,9.3,5
0.6,0.083,3.29,0.56,9.8,6
0.6,0.083,3.29,0.56,9.8,6
0.87,0.107,3.26,0.46,9.2,5
0.39,0.075,3.09,0.43,9.7,6
0.775,0.079,3.18,0.51,9.6,5
0.835,0.166,3.39,0.52,10.0,5
0.58,0.069,3.38,0.66,12.6,6
0.5,0.057,3.36,0.45,9.5,5
0.5,0.057,3.36,0.45,9.5,5
0.5,0.057,3.36,0.45,9.5,5
0.51,0.084,3.36,0.54,10.5,6
0.51,0.084,3.36,0.54,10.5,6
0.51,0.084,3.36,0.54,10.5,6
0.51,0.084,3.36,0.54,10.5,6
0.42,0.077,3.09,0.53,11.0,5
0.44,0.063,3.25,0.53,10.2,6
0.59,0.056,3.52,0.56,11.4,5
0.655,0.078,3.34,0.39,9.5,5
0.62,0.065,3.32,0.51,11.8,6
0.645,0.086,3.37,0.46,10.3,5
0.32,0.086,3.36,0.44,10.1,5
0.34,0.084,3.36,0.44,10.1,5
0.43,0.078,3.6,0.59,11.1,6
0.64,0.168,3.28,0.5,9.5,5
0.475,0.091,3.07,0.65,10.03333333,6
0.85,0.093,3.36,0.54,10.1,5
0.475,0.091,3.07,0.65,10.03333333,6
0.605,0.096,3.46,0.53,11.8,6
0.74,0.094,3.24,0.5,9.8,5
0.54,0.088,3.25,1.18,10.5,6
0.77,0.079,3.27,0.5,9.8,6
0.78,0.415,3.0,1.17,9.2,5
0.58,0.153,3.21,1.03,11.6,6
0.78,0.415,3.0,1.17,9.2,5
0.885,0.086,3.11,0.46,10.0,5
0.45,0.078,3.29,0.51,9.9,6
0.57,0.077,3.36,0.62,10.8,6
0.57,0.077,3.36,0.62,10.8,6
0.6,0.08,3.3,0.49,9.9,5
0.6,0.08,3.3,0.49,9.9,5
0.755,0.107,3.19,0.5,9.5,5
0.81,0.076,3.19,0.42,9.2,5
0.64,0.1,3.3,0.58,9.6,5
0.64,0.083,3.35,0.68,10.3,5
0.49,0.068,3.58,0.59,12.5,6
0.64,0.094,3.37,0.58,11.0,5
0.62,0.07,3.17,0.48,9.8,5
0.52,0.078,3.3,0.48,10.2,5
0.685,0.092,3.31,0.65,9.55,6
0.675,0.09,3.31,0.65,9.55,5
0.59,0.08,3.28,0.52,9.9,5
0.67,0.068,3.42,0.72,11.1,6
0.69,0.08,3.25,0.51,9.9,5
0.3,0.052,3.44,0.82,11.9,6
0.33,0.061,3.23,1.1,10.0,8
0.5,0.082,3.43,0.62,10.7,6
0.24,0.062,3.22,0.94,10.9,6
0.51,0.064,3.54,0.93,10.7,6
0.29,0.048,3.27,1.01,12.4,7
0.51,0.064,3.54,0.93,10.7,6
0.96,0.082,3.5,0.44,11.9,6
0.47,0.071,3.56,0.73,10.6,6
0.24,0.062,3.22,0.94,10.9,6
0.57,0.104,3.04,0.9,10.1,5
0.32,0.077,3.2,0.78,9.6,5
0.58,0.065,3.56,0.84,9.4,5
0.32,0.077,3.2,0.78,9.6,5
0.34,0.064,3.35,0.77,12.1,7
0.53,0.077,3.16,0.46,9.8,5
0.64,0.077,3.27,0.45,9.9,5
0.53,0.077,3.16,0.46,9.8,5
0.4,0.079,3.34,0.58,9.4,5
0.54,0.079,3.39,0.84,11.4,6
0.53,0.123,3.5,0.67,11.0,4
0.41,0.078,3.3,0.58,11.2,5
0.64,0.072,3.31,0.63,11.0,5
0.18,0.049,3.33,0.93,11.3,5
0.41,0.066,3.37,0.62,10.4,5
0.43,0.069,3.26,0.54,9.9,6
0.4,0.069,3.42,0.74,10.1,7
0.54,0.214,3.18,0.77,9.0,6
0.38,0.169,3.15,0.65,8.5,5
0.915,0.07,3.53,0.54,11.1,5
0.59,0.052,3.41,0.47,10.3,5
0.67,0.072,3.32,0.68,11.06666667,6
0.58,0.058,3.38,0.49,11.7,5
0.785,0.094,3.16,0.52,9.6,6
0.67,0.08,3.4,0.74,9.7,5
0.38,0.056,3.23,0.76,11.3,8
0.37,0.062,3.23,0.73,11.3,7
0.32,0.104,3.33,0.78,11.0,7
0.58,0.062,3.35,0.76,11.6,7
0.45,0.073,3.21,0.69,10.9,6
0.9,0.052,3.5,0.63,10.9,6
0.49,0.074,3.41,0.58,9.0,5
0.29,0.067,3.39,0.6,10.5,5
0.2,0.054,3.32,0.8,11.9,7
0.42,0.054,3.41,0.68,10.4,6
0.785,0.06,3.59,0.61,10.0,4
0.63,0.076,3.34,0.53,10.8,6
0.59,0.063,3.41,0.67,9.7,5
0.48,0.062,3.3,0.65,10.0,7
1.04,0.067,3.52,0.57,11.0,4
0.48,0.062,3.3,0.65,10.0,7
0.98,0.061,3.31,0.55,9.7,3
0.69,0.084,2.88,0.47,9.7,5
0.7,0.067,3.43,0.52,12.6,5
0.35,0.073,3.38,0.79,11.1,6
0.6,0.071,3.38,0.54,11.0,5
0.5,0.205,3.16,0.75,8.8,5
0.47,0.048,3.54,0.88,13.56666667,7
0.5,0.205,3.16,0.75,8.8,5
0.47,0.048,3.54,0.88,13.6,7
0.875,0.082,3.4,0.52,10.2,3
0.28,0.104,3.39,0.68,10.6,5
0.62,0.08,3.66,0.62,10.1,4
0.28,0.104,3.39,0.68,10.6,5
0.33,0.042,3.35,0.61,10.7,5
0.655,0.074,3.37,0.55,9.7,5
0.68,0.07,3.38,0.6,10.3,5
0.64,0.066,3.52,0.78,10.6,5
0.54,0.049,3.72,0.58,11.4,5
0.22,0.039,3.39,0.56,12.4,6
0.65,0.05,3.57,0.54,11.95,5
0.54,0.089,3.26,0.59,9.7,5
0.31,0.066,3.42,0.7,10.0,7
0.43,0.08,3.35,0.81,10.6,6
0.74,0.054,3.45,0.63,11.5,6
0.74,0.054,3.45,0.63,11.5,6
0.82,0.083,3.16,0.53,9.4,5
0.44,0.077,3.51,0.69,11.0,6
0.38,0.106,3.36,0.55,11.4,6
0.76,0.078,3.55,0.63,9.95,3
0.81,0.07,3.51,0.66,10.8,6
0.38,0.106,3.36,0.55,11.4,6
0.27,0.074,3.38,0.72,10.6,6
0.18,0.062,3.28,0.7,11.1,5
0.36,0.047,3.47,0.77,9.7,6
0.69,0.068,3.44,0.67,9.8,5
0.84,0.074,3.53,0.72,9.233333333,6
0.84,0.074,3.53,0.72,9.25,6
0.53,0.063,3.38,0.83,10.3,6
0.47,0.114,3.32,0.63,10.5,5
0.7,0.106,3.44,0.58,10.2,5
0.32,0.071,3.42,0.97,10.6,5
0.48,0.076,3.34,0.6,10.4,5
0.48,0.064,3.33,0.64,9.7,5
0.47,0.064,3.3,0.65,9.6,6
0.29,0.096,3.31,0.67,10.1,6
0.69,0.063,3.42,0.6,10.2,6
0.44,0.063,3.42,0.69,11.3,6
0.705,0.081,3.6,0.66,10.2,5
0.53,0.058,3.21,0.68,9.9,6
0.39,0.074,3.39,0.61,9.0,5
0.56,0.064,3.42,0.62,11.7,7
0.55,0.075,3.36,0.59,9.7,6
0.64,0.081,3.57,0.63,12.0,5
0.52,0.071,3.56,0.63,11.6,6
0.37,0.063,3.17,0.81,11.2,7
0.63,0.059,3.36,0.64,10.1,6
0.57,0.072,3.36,0.61,10.2,5
0.4,0.099,3.1,0.58,10.4,5
0.36,0.074,3.24,0.7,11.4,8
0.67,0.083,3.44,0.54,9.4,5
0.68,0.103,3.51,0.66,11.3,6
0.735,0.08,3.41,0.6,9.4,5
0.56,0.065,3.44,0.68,10.55,7
0.88,0.066,3.53,0.56,9.9,5
0.855,0.062,3.54,0.6,11.0,6
0.63,0.235,3.22,0.56,9.5,5
0.6,0.08,3.21,0.52,9.9,5
0.6,0.08,3.21,0.52,9.9,5
0.6,0.08,3.21,0.52,9.9,5
0.695,0.076,3.29,0.54,10.1,5
0.695,0.076,3.29,0.54,10.1,5
0.67,0.061,3.39,0.82,10.9,6
0.16,0.059,3.34,0.71,11.2,6
0.695,0.076,3.29,0.54,10.1,5
0.56,0.077,3.34,0.59,9.2,5
0.51,0.056,3.48,0.57,11.5,6
0.36,0.23,3.37,0.93,12.4,6
0.38,0.038,3.44,0.65,11.1,6
0.69,0.069,3.33,0.51,9.5,5
0.58,0.075,3.58,0.67,12.5,6
0.52,0.06,3.26,0.64,11.8,6
0.3,0.081,3.3,0.78,10.8,6
0.7,0.076,3.54,0.6,11.9,6
0.67,0.118,3.42,0.67,11.3,6
0.35,0.068,3.36,0.6,11.9,6
0.715,0.053,3.57,0.5,11.9,5
0.46,0.074,3.33,0.62,9.8,5
0.32,0.061,3.29,0.8,11.6,7
0.31,0.065,3.34,0.85,11.4,6
0.61,0.066,3.55,0.66,10.9,6
0.55,0.077,3.32,0.82,11.6,6
0.74,0.089,3.67,0.56,11.6,6
0.51,0.076,3.42,0.75,11.0,6
0.62,0.068,3.42,0.82,9.5,6
0.6,0.09,3.45,0.58,10.5,5
0.55,0.062,3.52,0.76,11.2,6
0.645,0.075,3.57,0.71,10.2,5
